"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"25-Jun-18",25,"Jun",2018,"Boating","USA","California","Oceanside, San Diego County","Paddle and Boogie boarding","F",57,"No injury to occupant, outrigger canoe and paddle damaged","N","White shark","Oceanside, San Diego County , California , USA",33.1971500000001,-117.38058
"18-Jun-18",18,"Jun",2018,"Unprovoked","USA","Georgia","St. Simon Island, Glynn County","Standing","F",11,"Minor injury to left thigh","N","Unknown","St. Simon Island, Glynn County , Georgia , USA",31.13521,-81.39077
"9-Jun-18",9,"Jun",2018,"Invalid","USA","Hawaii","Habush, Oahu","Surfing","M",48,"Injury to left lower leg from surfboard skeg","N","Unknown","Habush, Oahu , Hawaii , USA",21.4333300000001,-157.96667
"3-Jun-18",3,"Jun",2018,"Unprovoked","BRAZIL","Pernambuco","Piedade Beach, Recife","Swimming","M",18,"FATAL","Y","Tiger shark","Piedade Beach, Recife , Pernambuco , BRAZIL",-8.05410018571252,-34.8789544985325
"27-May-18",27,"May",2018,"Unprovoked","USA","Florida","Lighhouse Point Park, Ponce Inlet, Volusia County","Fishing","M",52,"Minor injury to foot. PROVOKED INCIDENT","N","Lemon shark","Lighhouse Point Park, Ponce Inlet, Volusia County , Florida , USA",29.0824400000001,-80.9250499999999
"26-May-18",26,"May",2018,"Unprovoked","USA","Florida","Cocoa Beach, Brevard  County","Walking","M",15,"Lower left leg bitten","N","Bull shark","Cocoa Beach, Brevard  County , Florida , USA",28.31818,-80.61006
"26-May-18",26,"May",2018,"Unprovoked","USA","Florida","Daytona Beach, Volusia County","Standing","M",12,"Minor injury to foot","N","Unknown","Daytona Beach, Volusia County , Florida , USA",29.2035700000001,-81.0393999999999
"24-May-18",24,"May",2018,"Provoked","AUSTRALIA","Queensland","Cairns Aquarium","Fishing","M",32,"Minor bite to hand by captive shark. PROVOKED INCIDENT","N","Grey reef shark","Cairns Aquarium , Queensland , AUSTRALIA",-16.9184099999999,145.77341
"21-May-18",21,"May",2018,"Unprovoked","USA","South Carolina","Isle of Palms,  Charleston County","Paddle and Boogie boarding","M",10,"Injuries to lower right leg and foot","N","Unknown","Isle of Palms,  Charleston County , South Carolina , USA",32.78997,-79.7838399999999
"13-May-18",13,"May",2018,"Unprovoked","USA","South Carolina","Hilton Head Island, Beaufort County","Swimming","M",10,"Severe bite to right forearm","N","Unknown","Hilton Head Island, Beaufort County , South Carolina , USA",32.1551000000001,-80.76253
"13-May-18",13,"May",2018,"Invalid","ENGLAND","Cornwall","Off Land's End","Fishing","M",21,"Injured by teeth of a dead porbeagle shark he was tossing overboard.","N","Unknown","Off Land's End , Cornwall , ENGLAND",50.0682200000001,-5.71606999999995
"28-Apr-18",28,"Apr",2018,"Unprovoked","COSTA RICA","Cocos Island","Manuelita","Diving","M",30,"No injury, shark bit scuba gear","N","Tiger shark","Manuelita , Cocos Island , COSTA RICA",5.53333000000003,-87.06667
"25-Apr-18",25,"Apr",2018,"Unprovoked","AUSTRALIA","Western Australia","Surfers Point, Prevelly","Surfing","M",60,"No injury, knocked off board by shark","N","Unknown","Surfers Point, Prevelly , Western Australia , AUSTRALIA",-33.9766303893374,114.991931184651
"23-Apr-18",23,"Apr",2018,"Unprovoked","MALDIVES","Alifu Alifu Atoll","Madoogali","Fishing","M",32,"5-inch cut to hand","N","Tiger shark","Madoogali , Alifu Alifu Atoll , MALDIVES",4.09617000000003,72.75287
"22-Apr-18",22,"Apr",2018,"Unprovoked","SOUTH AFRICA","Western Cape Province","Robberg Beach, Plettenberg Bay","Paddle and Boogie boarding","M",33,"No injury, shark bit hole in ski","N","White shark","Robberg Beach, Plettenberg Bay , Western Cape Province , SOUTH AFRICA",-34.0617399999999,23.3789
"19-Apr-18",19,"Apr",2018,"Unprovoked","USA","Hawaii","Shipwreck?s Beach, Keoneloa Bay, Kauai","Paddle and Boogie boarding","M",29,"Lacerations to right lower leg","N","Unknown","Shipwreck?s Beach, Keoneloa Bay, Kauai , Hawaii , USA",21.8764200000001,-159.44251
"15-Apr-18",15,"Apr",2018,"Unprovoked","THAILAND","Hua Hin","Sai Noi Beach","Swimming","M",54,"Lacerations to foot and ankle","N","Bull shark","Sai Noi Beach , Hua Hin , THAILAND",12.4533806208618,99.9816846268322
"15-Apr-18",15,"Apr",2018,"Unprovoked","AUSTRALIA","Western Australia","Lefthanders, Margaret River Area","Surfing","M",41,"Laceration to right thigh","N","Unknown","Lefthanders, Margaret River Area , Western Australia , AUSTRALIA",-33.9431499999999,115.07424
"15-Apr-18",15,"Apr",2018,"Unprovoked","AUSTRALIA","Western Australia","Cobblestones, Margaret River Area","Surfing","M",37,"Lacerations to legs","N","Unknown","Cobblestones, Margaret River Area , Western Australia , AUSTRALIA",-33.9431499999999,115.07424
"10-Apr-18",10,"Apr",2018,"Invalid","BRAZIL","Alagoas","Praia de Saua?uhy, Macei?","Fishing","M",56,"Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT.","N","Unknown","Praia de Saua?uhy, Macei? , Alagoas , BRAZIL",-9.48881999999998,-35.57555
"5-Apr-18",5,"Apr",2018,"Unprovoked","BAHAMAS",NA,"Bimini","Swimming","M",12,"2 puncture wounds to left foot, abrasion to right foot","N","Bull shark","Bimini , NA , BAHAMAS",25.701848231,-79.2729849999999
"3-Apr-18",3,"Apr",2018,"Unprovoked","SOUTH AFRICA","Eastern Cape Province","St. Francis Bay","Surfing","M",19,"Lacerations to left knee & lower leg","N","White shark","St. Francis Bay , Eastern Cape Province , SOUTH AFRICA",-34.1602599999999,24.8261800000001
"31-Mar-18",31,"Mar",2018,"Unprovoked","USA","Hawaii","Kukio Beach","Paddle and Boogie boarding","M",25,"Injuries to right leg & hand","N","Tiger shark","Kukio Beach , Hawaii , USA",19.8197200000001,-155.99644
"14-Mar-18",14,"Mar",2018,"Unprovoked","AUSTRALIA","Western Australia","Waterman's Bay","Walking","M",10,"Minor injuries to legs","N","Wobbegong shark","Waterman's Bay , Western Australia , AUSTRALIA",-31.8461599999999,115.75728
"9-Mar-18",9,"Mar",2018,"Unprovoked","AUSTRALIA","Victoria","Lorne","Swimming","M",69,"No injury, said to have been charged by sharks several times","N","Unknown","Lorne , Victoria , AUSTRALIA",-38.54205,143.97542
"9-Mar-18",9,"Mar",2018,"Unprovoked","AUSTRALIA","Victoria","Winkipop","Surfing","M",18,"Minor injury, ankle grazed","N","Unknown","Winkipop , Victoria , AUSTRALIA",-36.8482305859999,144.299544159
"23-Feb-18",23,"Feb",2018,"Unprovoked","AUSTRALIA","New South Wales","Little Congwong Beach, La Perouse","Swimming","F",55,"Laceratons to right leg & foot","N","White shark","Little Congwong Beach, La Perouse , New South Wales , AUSTRALIA",-33.9913099999999,151.23954
"18-Feb-18",18,"Feb",2018,"Provoked","AUSTRALIA","Victoria","Westernport Bay","Fishing","M",34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT","N","Unknown","Westernport Bay , Victoria , AUSTRALIA",-38.2642999999999,145.28903
"15-Feb-18",15,"Feb",2018,"Unprovoked","AUSTRALIA","New South Wales","Surf Beach, Kiama","Walking","M",35,"Puncture wounds to leff foot & lower leg","N","Bull shark","Surf Beach, Kiama , New South Wales , AUSTRALIA",-35.7595899999999,150.21022
"3-Feb-18",3,"Feb",2018,"Unprovoked","ECUADOR","Galapagos Islands","Santa Fe Island","Snorkeling","M",45,"Injuries to right foot","N","Galapagos shark","Santa Fe Island , Galapagos Islands , ECUADOR",5.6843418860808e-14,-90.4999999999999
"1-Feb-18",1,"Feb",2018,"Invalid","AUSTRALIA","Western Australia","Avalon Point, Manurah","Walking","M",14,"No injury no attack. This is considerd an ""encounter""","N","Unknown","Avalon Point, Manurah , Western Australia , AUSTRALIA",-32.5942540411512,115.639273384492
"13-Jan-18",13,"Jan",2018,"Unprovoked","AUSTRALIA","New South Wales","Martin Islet","Diving","M",28,"No injury, shark took his swimfin","N","White shark","Martin Islet , New South Wales , AUSTRALIA",-34.4902,150.9346
"12-Jan-18",12,"Jan",2018,"Unprovoked","BRAZIL","Fernando de Noronha","Conceicao Beach","Surfing","M",20,"Minor injury to left forearm","N","Unknown","Conceicao Beach , Fernando de Noronha , BRAZIL",-3.84220999999997,-32.41732
"31-Dec-17",31,"Dec",2017,"Unprovoked","USA","Hawaii","Hultin's Beach, Oahu","Surfing","F",54,"Severe lacerations to left thigh & knee","N","Tiger shark","Hultin's Beach, Oahu , Hawaii , USA",21.439542579,-157.94363193
"30-Dec-17",30,"Dec",2017,"Unprovoked","USA","California","Drakes Estero, Point Reyes, Marin County","Surfing","F",35,"Foot bitten","N","Unknown","Drakes Estero, Point Reyes, Marin County , California , USA",38.0609226402821,-122.833150024881
"21-Dec-17",21,"Dec",2017,"Provoked","MALAYSIA","Sepang","Bagan Lalang Beach","Fishing","M",24,"Minor injury to thigh, PROVOKED INCIDENT","N","Grey nurse shark","Bagan Lalang Beach , Sepang , MALAYSIA",2.59991000000002,101.68343
