Date,Day,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Species
25-Jun-18,25,Jun,2018,Boating,USA,California,"Oceanside, San Diego County",Paddle and Boogie boarding,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark
18-Jun-18,18,Jun,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,Unknown
9-Jun-18,9,Jun,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,Unknown
3-Jun-18,3,Jun,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Tiger shark
27-May-18,27,May,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,Lemon shark
26-May-18,26,May,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,Bull shark
26-May-18,26,May,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,Unknown
24-May-18,24,May,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Fishing,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark
21-May-18,21,May,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Paddle and Boogie boarding,M,10,Injuries to lower right leg and foot,N,Unknown
13-May-18,13,May,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,Unknown
13-May-18,13,May,2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Unknown
28-Apr-18,28,Apr,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,M,30,"No injury, shark bit scuba gear",N,Tiger shark
25-Apr-18,25,Apr,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,Unknown
23-Apr-18,23,Apr,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,Tiger shark
22-Apr-18,22,Apr,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle and Boogie boarding,M,33,"No injury, shark bit hole in ski",N,White shark
19-Apr-18,19,Apr,2018,Unprovoked,USA,Hawaii,"Shipwreck?s Beach, Keoneloa Bay, Kauai",Paddle and Boogie boarding,M,29,Lacerations to right lower leg,N,Unknown
15-Apr-18,15,Apr,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,Bull shark
15-Apr-18,15,Apr,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,Unknown
15-Apr-18,15,Apr,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,Unknown
10-Apr-18,10,Apr,2018,Invalid,BRAZIL,Alagoas,"Praia de Saua?uhy, Macei?",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT.,N,Unknown
5-Apr-18,5,Apr,2018,Unprovoked,BAHAMAS,NA,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark
3-Apr-18,3,Apr,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,White shark
31-Mar-18,31,Mar,2018,Unprovoked,USA,Hawaii,Kukio Beach,Paddle and Boogie boarding,M,25,Injuries to right leg & hand,N,Tiger shark
14-Mar-18,14,Mar,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Walking,M,10,Minor injuries to legs,N,Wobbegong shark
9-Mar-18,9,Mar,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,Unknown
9-Mar-18,9,Mar,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,Unknown
23-Feb-18,23,Feb,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse",Swimming,F,55,Laceratons to right leg & foot,N,White shark
18-Feb-18,18,Feb,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Fishing,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Unknown
15-Feb-18,15,Feb,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,Bull shark
3-Feb-18,3,Feb,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,Galapagos shark
1-Feb-18,1,Feb,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Walking,M,14,"No injury no attack. This is considerd an ""encounter""",N,Unknown
13-Jan-18,13,Jan,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Diving,M,28,"No injury, shark took his swimfin",N,White shark
12-Jan-18,12,Jan,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Unknown
31-Dec-17,31,Dec,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark
30-Dec-17,30,Dec,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,Unknown
21-Dec-17,21,Dec,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,Grey nurse shark
9-Dec-17,9,Dec,2017,Unprovoked,BAHAMAS,NA,NA,Snorkeling,F,25,Minor injury to arm,N,Grey nurse shark
30-Nov-17,30,Nov,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,M,26,Serious injury to leg,N,Tiger shark
30-Nov-17,30,Nov,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,F,49,FATAL,Y,Tiger shark
24-Nov-17,24,Nov,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Fishing,M,25,Right leg bitten,N,White shark
18-Nov-17,18,Nov,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Unknown
13-Nov-17,13,Nov,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,Unknown
4-Nov-17,4,Nov,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Swimming,M,22,FATAL,Y,Tiger shark
31-Oct-17,31,Oct,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,Cookiecutter shark
28-Oct-17,28,Oct,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,Wobbegong shark
23-Oct-17,23,Oct,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,17,Lacerations to left foot,N,Unknown
23-Oct-17,23,Oct,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,Unknown
22-Oct-17,22,Oct,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Fishing,F,15,Minor injuries,N,White shark
9-Oct-17,9,Oct,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,Tiger shark
5-Oct-17,5,Oct,2017,Unprovoked,USA,Hawaii,"Kama?ole Beach Park, Maui",Snorkeling,F,40,Abrasions,N,Unknown
16-Sep-17,16,Sep,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria,Surfing,M,13,Lacerations to right foot,N,Porbeagle shark
16-Sep-17,16,Sep,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,Unknown
13-Sep-17,13,Sep,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,Unknown
10-Sep-17,10,Sep,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,White shark
